track_genre,popularity
acoustic,42.07974683544304
afrobeat,24.276433121019107
alt-rock,33.9063670411985
alternative,22.918181818181818
ambient,44.13767209011264
anime,48.71590909090909
black-metal,22.573019801980198
bluegrass,25.591760299625467
blues,30.67388362652233
brazil,44.549731182795696
breakbeat,19.814126394052046
british,44.657223796033996
cantopop,34.55514250309789
chicago-house,12.458128078817735
children,35.08502538071066
chill,54.013959390862944
classical,13.681686046511627
club,33.300131061598954
comedy,24.779898218829516
country,16.351531291611185
dance,23.6343085106383
dancehall,34.78447121820616
death-metal,32.50477489768076
deep-house,45.57598978288633
detroit-techno,11.045801526717558
disco,33.925587467362924
disney,27.669950738916256
drum-and-bass,26.491002570694086
dub,39.9207650273224
dubstep,38.9622641509434
edm,39.66843971631206
electro,34.39004149377593
electronic,44.557206537890046
emo,48.808882907133246
folk,40.54600301659125
forro,41.92665036674816
french,40.684062059238364
funk,34.2496
garage,40.95342465753425
german,33.491467576791806
gospel,39.63953488372093
goth,28.859116022099446
grindcore,14.499359795134444
groove,35.310891089108914
grunge,51.08987161198288
guitar,29.22425952045134
happy,21.743654822335024
hard-rock,44.2018018018018
hardcore,37.1578073089701
hardstyle,28.36051502145923
heavy-metal,26.22264631043257
hip-hop,42.500723589001446
honky-tonk,16.342036553524803
house,33.67052023121387
idm,15.261029411764707
indian,49.904522613065325
indie,33.67307692307692
indie-pop,39.128691983122366
industrial,32.08271787296898
iranian,2.233881163084703
j-dance,25.37741935483871
j-idol,24.731196054254006
j-pop,37.35616438356164
j-rock,37.14324324324324
jazz,9.807962529274004
k-pop,59.69676549865229
kids,14.803504380475594
latin,9.359797297297296
latino,51.808777429467085
malay,30.057881773399014
mandopop,45.09012875536481
metal,55.857142857142854
metalcore,44.45391304347826
minimal-techno,33.52556818181818
mpb,40.88778877887789
new-age,29.018229166666668
opera,24.66218236173393
pagode,45.57249626307922
party,22.12257100149477
piano,46.53252647503782
pop,42.53211009174312
pop-film,59.30077519379845
power-pop,26.63157894736842
progressive-house,46.62270450751252
psych-rock,40.16898608349901
punk,40.672222222222224
punk-rock,38.79362101313321
r-n-b,39.56423173803527
reggae,26.432558139534883
reggaeton,48.49152542372882
rock,19.503703703703703
rock-n-roll,36.810730253353206
rockabilly,27.834600760456272
romance,3.6485355648535567
sad,51.02054794520548
salsa,28.133419689119172
samba,37.65259117082534
sertanejo,47.92987804878049
show-tunes,31.5
singer-songwriter,43.86987951807229
ska,35.758957654723126
sleep,34.72020075282309
soul,27.44759206798867
spanish,40.01209677419355
study,26.25287356321839
swedish,36.84380305602716
synth-pop,35.96686746987952
tango,19.969097651421507
techno,39.581538461538464
trance,38.827586206896555
trip-hop,34.38758620689655
turkish,40.74678111587983
world-music,41.649932157394844
